,text
1786,"*****************************   * WARRIORS TICKETS FOR SALE *   *****************************I have 2 tickets that I can't use (Last pair this year).Section 109, Row P, Seats 8 & 9DAY	DATE	OPPONENT	TIME	---	----	--------	----	WED     4/21    Sacremento     7:30Price: $45.00 = MY COSTCall or email if you are interested in these tickets."
1787,"I would like to sell my Logitech Hand-held 256 Gray Scale Scanner. Ioriginally bought it as a toy and have no practical use for it. Hardlyever used it.Package includes:-board-Scan-Mate software-Ansel Image Editing software-All original manuals, box, etc.Originally bought for $350 in Jan '92.Selling for $150."
1790,Has anybody compiled VOGL-graphics libraryfor IBM-PC? I need to call it from MS-Fortranbut don't have MS-C to compile the sources.Thanks for any help...
1792,"I've got 7 episodes left on *Beta* for Sale at US$8 each (neg.), orfor Trade 1-for-1 for movie on Beta or a used CD; or, a package dealfor $50 or whatever you care to propose in trade -- e.g., all for aset of good stereo headphones (e.g. Sony V6 or V7), an Apple IWIIsheet feeder, a good used FM/Cassette stereo ""walkman"" or a hotelcoupon(s) for free stays FOB New York City (guests coming!)).  Theremaining collection is as follows:         8 - Charlie X        11 - Dagger of the Mind        12 - Miri        17 - Shore Leave        20 - The Alternative Factor        29 - Operation-Annihilate!        33 - Who Mourns for Adonais?Numbers indicate episode numbering on the tape boxes, for those whoare keeping track of what episodes they're missing in that manner.RSVP for summaries, if necessary.The tapes are all in excellent condition in the original packaging.All have been played at least once, but most have been played ONLYonce, and NONE have been played more than twice. Running time: ~50min. ea.  (Unedited, uncut store-bought originals unlike those insyndication; all have *incredible* Beta HiFi sound!)I also have the following SF and Horror movies on Beta as well; US$10(negotiable) or Trade (1-for-1 swap for movie on Beta or a used CD):        The Bride (Sting, Jennifer Beales)*       Buck Rogers Conquers the Universe (Buster Crabbe, Constance Moore)RSVP for my larger Beta movies/music trade list, or find it on Misc.forsale!gldPS: For those of you who may wonder, Beta is alive as a pro/hobbyistformat ... there's life beyond the corner video store! (-;"
1793,"I have the following 45 rpm singles for sale. Most are collectable 7-inch records with picture sleeves. Price does not include postage which is $1.21 for the first record, $1.69 for two, etc.Pink Floyd|Learning to Fly (Columbia Promo/Picture Sleeve)|$5Waters, Roger|Sunset Strip (Columbia Promo/Picture Sleeve)|$10Waters, Roger|Sunset Strip (Columiba Promo)|$5Waters, Roger|Who Needs Information (Columiba Promo)|$10If you are interested, please contact:"
1796," Finding the circumcenter of a tetrahedron is discussed on page 33 inCONTOURING: A guide to the analysis and display of spatial data,by Dave Watson, Pergamon Press,  1992, ISBN 0 08 040286 0, 321p.Each pair of tetrahedral vertices define a plane which is a perpendicular bisector of the line between that pair.  Express eachplane in the form Ax + By + Cz = Dand solve the set of simultaneous equations from any three of thoseplanes that have a vertex in common (all vertices are used).  The solution is the circumcenter."
1799,"Played in Scandinavium, Gothenburg, April 15 1993: ================================================== SWEDEN - FINLAND  6-6 (1-2,3-1,2-3) 1st: SWE 1-0 Peter Popovic      (Markus Naslund)                     6:10      FIN 1-1 Ville Siren        (Keijo Sailynoja)                    8:44 (pp)      FIN 1-2 Juha Riihijarvi    (Timo Saarikoski,Vesa Viitakoski)   13:12 (pp) 2nd: FIN 1-3 Jari Korpisalo     (Kari Harila,Rauli Raitanen)         6:48      SWE 2-3 Jan Larsson        (Mikael Renberg,Stefan Nilsson)      7:25      SWE 3-3 Hakan Ahlund       (Thomas Rundqvist)                   8:56      SWE 4-3 Roger Akerstrom    (Roger Hansson)                      9:13 3rd: SWE 5-3 Stefan Nilsson     (Patrik Juhlin,Charles Berglund)     2:20      FIN 5-4 Keijo Sailynoja                                         9:23      FIN 5-5 Keijo Sailynoja                                         9:44 (ps)      SWE 6-5 Mikael Renberg     (Hakan Ahlund,Thomas Rundqvist)     17:16      FIN 6-6 Jari Korpisalo                                         17:44             Shots on goal:      Penalties:     Attendance:    Referee: Sweden       8 10 10 - 28       5*2min         6,799          Peter Andersson Finland     12 10 11 - 33       6*2min,1*10min                (Sweden)------------------------------------------------------------------------------- Sweden opened the scoring as Markus Naslund made a drop pass at the Finnish blue line, Popovic picked it up and advanced towards the Finnish goal and shot a nice hard wrist shot in Ketterer's top corner. Ville Siren's slap shot from the blue line on power play made it 1-1, and Juha Riihijarvi scored a nice goal in another power play when he close in front of goal put the puck high over Aslin, 1-2 after the first period. The Finns started the second period with really good pressure. Korpisalo made it 1-3 with another goal from close range high over Aslin. Then, during the Finnish pressure, Sweden turned the game around in 1:47. Mikael Renberg worked hard behind the Finnish goal, and passed the puck to Jan Larsson in front, who backhanded the puck low, 2-3. Rundqvist entered the Finnish zone and passed to Ahlund, and the Finnish defense let Ahlund  skate in and take a shot that Ketterer dropped into the goal, 3-3. Next, Roger Hansson -behind the goal- sent the puck back to the blue line where Roger Akerstrom took a slap shot and Ketterer didn't see the puck since there was traffic in front, 4-3. Third period started with a nice goal by Stefan ""the Shadow"" Nilsson. Stefan and Patrik Juhlin entered the Finnish zone, Patrik passed the puck back to Stefan who alone with Ketterer made no mistake, 5-3. Then, Keijo Sailynoja show started. He reduce and equalized the lead in only 21 seconds! First he scored the 5-4 goal, and after that he came in alone  with Aslin but was tripped by Aslin to get a penalty shot. Sailynoja made a nice penalty shot, showed forehand and put in with a low backhand shot. The Swedes seemed to head for a win when Mikael Renberg scored the 6-5 goal late in the game on a nice power play combination. Renberg waited in the slot, showed that he wanted the puck on the backhand side, Ahlund passed the puck and Renberg took a turnaround shot low in Ketterer's goal's far side. But Jari Korpisalo had other plans as he only 28 seconds later scored the game's final goal to make it 6-6. Korpisalo took a slap shot from a narrow angle that -maybe- Aslin should have saved. All in all, a decent game where the defense wasn't the best. Both teams juggled around the lines a bit in the second and third period to try no combinations. Renberg and Rundqvist plays well together in the Swedish team. Larsson- Nilsson-Juhlin best line overall again, it seems to be a working WC line. Stillman good on defense. Some players aren't good enough for the WC though. Hakan Ahlund (faell ner hjaelmen och jobba!), Roger Hansson, Challe Berglund, Kenny Jonsson will likely have to leave for NHL pros. Two-goal scorers Jari Korpisalo and Keijo Sailynoja played well in the Finnish team. Markus Ketterer didn't have a very good game, we've seen him a lot better, so Lindfors is probably Finland's starting goalie in the WC. I heard that Esa Tikkanen will join the Finnish team. It would be inter- resting to know which other pros coach Matikainen counts on for the WC. ------------------------------------------------------------------------------- Starting lines: 	SWEDEN					FINLAND  35. Peter Aslin			30. Markus Ketterer   8. Kenneth Kennholt			 2. Mikko Haapakoski  14. Fredrik Stillman			 3. Ville Siren  10. Hakan Ahlund			28. Jarkko Varvio   9. Thomas Rundqvist			40. Mika Nieminen  29. Mikael Renberg  			18. Keijo Sailynoja  27. Roger Akerstrom			 4. Erik Hamalainen   7. Arto Blomsten			 8. Kari Harila  20. Jan Larsson 	 		25. Rauli Raitanen   4. Stefan Nilsson 			26. Petri Varis   5. Patrik Juhlin			14. Jari Korpisalo   3. Peter Popovic			 5. Timo Jutila  32. Stefan Larsson			44. Harri Laurila  11. Roger Hansson			24. Juha Riihijarvi  33. Fredrik Nilsson			22. Timo Saarikoski  24. Peter Ottosson			11. Vesa Viitakoski					 6. Pasi Sormunen					12. Janne Laukkanen  19. Markus Naslund			29. Juha Ylonen  21. Peter Forsberg			27. Timo Peltomaa  18. Jonas Bergqvist			17. Marko Palo Played parts of the game:  22. Charles Berglund			15. Mika Alatalo   6. Kenny Jonsson			16. Saku Koivu					20. Marko Palo-------------------------------------------------------------------------------"
1805," 					signed contract for EV Landshut, Germany					for the 1993/94 season 					EC Hedos Muenchen, Germany					since 1992. Holger "
1810,"Hey now,The following cds are still available. Offers/trades considered.Gowan - Lost BrotherhoodKatrina & the Waves - Break of HeartsJoe Cocker - LiveCharles Neville - Diversity"
1819,"Everybody.  Please send me your predictions for the Stanley Cup Playoffs!I want to see who people think will win.!!!!!!!Please Send them in this format, or something comparable:1. Winner of Buffalo-Boston2. Winner of Montreal-Quebec3. Winner of Pittsburgh-New York4. Winner of New Jersey-Washington5. Winner of Chicago-(Minnesota/St.Louis)6. Winner of Toronto-Detroit7. Winner of Vancouver-Winnipeg8. Winner of Calgary-Los Angeles9. Winner of Adams Division (1-2 above)10. Winner of Patrick Division (3-4 above)11. Winner of Norris Division (5-6 above)12. Winner of Smythe Division (7-8 above)13. Winner of Wales Conference (9-10 above)14. Winner of Campbell Conference (11-12 above)15. Winner of Stanley Cup (13-14 above)I will summarize the predictions, and see who is the biggestINTERNET GURU PREDICTING GUY/GAL.Send entries to Richard Madisonrrmadiso@napier.uwaterloo.caPS:  I will send my entries to one of you folks so you know when I sayI won, that I won!!!!!"
1824,"PLEASE DO NOT RESPOND DIRECTLY TO THIS ACCOUNTFOR SALE:Blue 1984 Toyota pickup truck with white blazer topper, AM/FM/Casette,A/C, cruise control.  Great for camping trips.New: brakes, master brake cylinder, Michelin tires, shocks,maintenance free battery, clutch, windshield wipers.Well maintained with all Toyota parts (all repairs done at thedealers.)  Very little rust, body in good shape.  126K milesAsking $2800.  If interested, please contact:   Ursula Fritsch   umf@gene.com   (415)-347-6813	    PLEASE DO NOT RESPOND DIRECTLY TO THIS ACCOUNT"
1833,"Pens-6 NJ Devils-6FIRST PERIOD: SCORING: 1, Pittsburgh, Daniels(Needham, Tippett)4:14.2, NJ Devils, C. Lemieux(Semak, Driver)10:19.  3, Pittsburgh, Stevens(Tocchet, Murphy)12:40ppg.  4, NJ Devils, Zelepukin(Driver, Niedermayer)17:26.  PENALTIES: PGH, Stevens(roughing)1:30.  NJD, Pellerin-doubleminor(cross-checking)1:30.  NJD, Zelepukin(tripping)7:21.  NJD,Stasny(holding)11:15.  PGH, Taglianetti(roughing)13:51.  NJD, Lemieux(roughing)13:51.  PGH, Jagr(tripping)15:23.SECOND PERIOD: SCORING: 5, Pittsburgh, Lemieux(Murphy, Tocchet)1:42.6, NJ Devils, Semak(Lemieux, Zelepukin)2:27.  7, Pittsburgh, McEachern(Jagr, Barrasso)4:24.  8, NJD, Stevens(Guerin, Pellerin)5:45.  9,Pittsburgh, Lemieux(unassisted)12:40shg.  10, NJ Devils, Richer(Nicholls)15:53.  11, NJ Devils, Lemieux(Zelepukin)17:40.  PENALTIES:PGH, Stevens(roughing)3:06.  NJD, McKay(roughing)3:06.  PGH, Mullen(hooking)10:42.  PGH, Tocchet(roughing)12:06.  NJD, Stevens(slashing)12:06.  NJD, Lemieux(unsportsmanlike conduct)12:40.  PGH, U.Samuelsson(cross checking)20:00.  PGH, Barrasso-double minor(spearing)served by McEachern, 20:00.  NJD, Holik(cross checking)20:00.  NJD,Lemieux(roughing)20:00.THIRD PERIOD: SCORING: 12, Pittsburgh, Mullen(Jagr, Lemieux)18:54.PENALTIES: NJD, Daneyko(interference)3:37.  PGH, Stevens(roughing)9:18.  NJD, Holik(roughing)9:18.  PGH, match penalty-game misconduct,9:50.NJD, Zelepukin(tripping)12:01.  PGH, Stevens(roughing)18:41.  NJD,Daneyko(roughing)18:41.OVERTIME: SCORING: No scoring.  PENALTIES: No penalties.SHOTS ON GOAL:Pittsburgh: 9-11-8-2=30NJ Devils: 12-15-9-3=39GOALIES:Barrasso(39 shots, 33 saves. 43-14-5)Billington(30 shots, 24 saves)REF: Devorski  Linesmen: Gauthier, Vines"
1837,"To All -- I thought the net would find this amusing..  From the March 1993 ""Aero Vision"" (The newsletter for the Employeesof McDonnell Douglas Aerospace at Huntington Beach, California).    SPACE CLIPPERS LAUNCHED SUCCESSFULLY    ""On Monday, March 15 at noon, Quest Aerospace Education, Inc.  launched two DC-Y Space Clippers in the mall near the cafeteria.  The first rocket was launched by Dr. Bill Gaubatz, director and  SSTO program manager, and the second by Air Force Captain Ed  Spalding, who with Staff Sgt. Don Gisburne represents Air Force  Space Command, which was requested by SDIO to assess the DC-X for  potential military operational use.  Both rocket launches were  successful.  The first floated to the ground between the cafeteria  and Building 11, and the second landed on the roof of the  cafeteria.    Quest's Space Clipper is the first flying model rocket of the  McDonnell Douglas DC-X.  The 1/122nd semi-scale model of the  McDonnell Douglas Delta Clipper has an estimated maximum altitude  of 300 feet.  The Space Clippers can be used in educational  settings to teach mathematics and science, as well as social  studies and other applications.  The Space Clipper is available  either in the $35 Space Clipper outfit, which includes everything  needed for three launches, or as individual rockets for $12 each.  Both are available through hobby shops or by calling 1-800-858-  7302.""  By the way -- this is not an endorsement to buy the product nor isit an advertisement to buy the product.  I make no claims about theproduct.  This is posted for public information only (hey, I foundit amusing...), and is merely a repeat of what was included in theMDSSC Huntington Beach Newsletter.  ----------------------------------------------------------------- Wales Larrison                         Space Technology Investor  "
1838,"This is the final public update to my dragon magazine auction.  If thereare no new bids then the current bids stand (like that's gonna  happen.  :) ).After this, any updates will be by E-mail *ONLY*.  The entire auction will end as soon as the bids stop coming in.  So if you want to get inon  this, be sure to bid now.  All bids must be made in *AT LEAST*25 cent increments.  Buyer will pay shipping.  (Unless you have anyparticular fancy, it will be US mail 4th class special, with lots ofpadding).  All dragons are bagged.  The condition of them vary quite a bit, so I've come up with my own condition system.  Some dragons may be missing items like the inserts.  If you have any questions, feel free to ask.*Condition ratings - Usually this is just an evaluation of the cover, asmost of the material inside is in great shape.Excellent - IE-""As you find them in the store""Very Good - Still in great condition, but can tell it's been boughtenGood      - On down the lineVery Fair/fair - indicates lots of use (But still ""decent"")Poor      -  Indicates the material inside may be damaged (usually byscissors).  A * by the condition indicates that something from the magazine is missing (usually the insert)I'll post another public update sometime this weekend (which will be thefinal public posting, after which the auction will be by e-mail untilthe bidding stops)*Again if you have any questions, ask away.*arrow      $2.50 056 - Fair     *- Top secret module missing - Bard tunes - real mapsTN.DE7     $3.0  073 - Good      - Forest of Doom module (detached but included) - inner planesykchev     $1.75 074 - Good     *- Combat computer missing - 4 dragons TN.DE7     $1.50 078 - Good/VG   - Monsters - aquatic AD&D module (detached but included) - Language lessongeoffrey   $1.50 079 - Good/VG   - top secret module (detached but included) - magic resistancemayla      $2.50 081 - Fair      - High level AD&D module (detached but included) - poison - material spell componentsUCCXKVB    $2.00 082 - Very Fair*- Baton races game insert missing - spell researchTN.DE7     $1.50 083 - Good/VG   - Babba Yagga's Hut module (detached but included) - unarmed combatgeoffrey   $1.50 084 - Fair     *- Cover missing - Twofold talisman modulesquidly    $1.75 085 - Good      - Twofold Talisman module - Clericssquidly    $1.75 087 - Good      - Top secret module - Wildernesgeoffrey   $1.50 088 - Good     *- Elefant Hunt insert missing - Falling damage - MARVEL-Philegeoffrey   $1.50 089 - Good     *- Creature catalog missing - Shields - sci fiTN.DE7     $1.5  094 - Good      - Ranger changes - Creature catalog II (detached but included)geoffrey   $1.50 095 - Fair     *- Cover missing - Into the Forgotten Realms module, detached but includedykcheu     $2.75 098 - Fair      - 9th anniversary - Dragons - mutant manualUCCXKVB    $1.75 099 - Poor     *- Cover Missing - Treasure trove II, some pictures cut outthedm      $2.50 100 - Good     *- poster missing - city beyond the gate module (detached but included) - ""raised dragon"" texture on covergeoffrey   $1.50 101 - Fair     *- Cover missing - creature catalog III (detached but included)geoffrey   $1.50 102 - Fair     *- Cover missing - Valley of earth mother middle level module (detached but included)geoffrey   $1.50 103 - Fair     *- Cover loosly attached - Unearth arcana update missing - Future of AD&D - Centaur papersgeoffrey   $1.50 103 - Fair     *- Unearth arcana update missing geoffrey   $1.50 104 - Fair/VF   - Marvel module - thieves - cover detached but included                                                                 geoffrey   $1.50 105 - Fair      - AD&D module - invisibility - cover & back cover detached but included      UCCXKVB    $2.00 106 - Fair      - Cover 1/2 on - variations of paladins - more skills 4 rangersykcheu     $2.75 106 - Good/VG   - Variations of paladins - more skills for rangers    arrow      $2.50 107 - Fair     *- Cover missing - Dragons of glory supplement/questionairegeoffrey   $1.50 108 - Good      - Mutant manual II - environmental effects - cover taped reinforcedthedm      $2.00 108 - Very Good - Mutant manual II - environmental effects ykcheu     $2.25 109 - Good      - Customizing D&D classes - Agent 13 postergeoffrey   $1.50 109 - Very Fair - Customizing D&D classes - Agent 13 poster missinggeoffrey   $1.50 110 - Very Good - House on the frozen lands module -10th annivsquidly    $1.75 110 - Very Good - House on the frozen lands module -10th annivgeoffrey   $1.50 111 - Good      - Murder Mystery AD&D moduleykcheu     $2.50 112 - Very Good - Ultimate Article Index - Mesozoic monstersmayla      $2.50 114 - Very Fair - Elven Cavalier - remorhaz - Witch NPC classykcheu     $1.75 115 - Good      - Theives - harpies & snakessquidly    $1.75 116 - Good/VG   - 3-D ship cardboard insert - wild animals - dr whoUCCXKVB    $2.50 117 - Good/VG   - Dice odds - creative campaigns - sage advice - bazaargeoffrey   $1.50 118 - Good      - Tournaments/Competitions - Nibar's keep gameUCCXKVB    $2.00 120 - VG/EX     - April fool's issueUCCXKVB    $2.00 121 - Excellent - Oriental adventures - cardboard castle insertgeoffrey   $1.50 122 - Excellent - 11th aniversary - African beasts - druidsUCCXKVB    $2.50 123 - Very Good - Magic and wizardrythedm      $2.25 123 - Very Good - Magic and wizardryarrow      $2.5  124 - Excellent - Aerial adventures - 2nd edition ?aireUCCXKVB    $2.25 124 - Excellent - Aerial adventures - 2nd edition ?airegeoffrey   $1.50 125 - Very Good - Clay-O-Rama! - Chivalry - quasi elementalsgeoffrey   $1.50 125 - VG/EX     - Clay-O-Rama! - Chivalry - Quasi-elementalsUCCXKVB    $2.50 126 - VG/EX     - UndeadUCCXKVB    $2.00 127 - Very Good - Fighters2FVPMANTEL $3.00 128 - Good      - King's Table insert game2FVPMANTEL $3.00 129 - Excellent - Demi-humansUCCXKVB    $2.50 130 - VG/EX     - The arcane artsTFPAYN01   $2.50 131 - Excellent - Deepeartharrow      $1.5  131 - VG/EX     - DeepearthUCCXKVB    $2.0  132 - Very Good - ORCWARS! board game missingarrow      $1.5  133 - Very Good - Berserkers & Spies-Roman gods -marvel indexgeoffrey   $1.50 133 - Very Good - Berserkers & Spies-Roman gods -marvel index2FVPMANTEL $3.00 134 - VG/EX     - 12 anniversary - Dragons tbh1       $2    135 - Very Good - Archers - Space sage adviceUCCXKVB    $2.0  135 - Very Good - Archers - Space Sage advicetbh1       $4.0  136 - Very Good - Cities & Urban adventurestbh1       $3    137 - Excellent - Wildernessarrow      $1.5  138 - Very Good - Horror (Haloween)UCCXKVB    $3.25 139 - Very Good - Pages from the MagesUCCXKVB    $3.5  140 - Excellent - Clerics & Healerstbh1       $3    141 - Good      - Humanoidstbh1       $2    142 - Very Good - AD&D 2nd edition previewUCCXKVB    $3.25 143 - Very Good - DM's issueUCCXKVB    $2.00 145 - Very Good*- Poster missing - castlesthedm      $2.5  146 - Very Good*- Poster missing - 13 anninversary - Dragonstbh1       $3.00 147 - Excellent - MAGUS! board game - magictbh1       $3.5  148 - Excellent - Fighting - Deck of Many things insertTN.DE7     $2.0  149 - Excellent - (No particular feature)TN.DE7     $2.00 150 - Excellent - Horror (Halloween issue)TN.DE7     $2.00 151 - Excellent - Oriental Adventures/Eastern TN.DE7     $2.00 152 - Good     *- Underdark - Poster missing is inside-slight crumple on cover, only noticable under inspectionTN.DE7     $2.0  153 - Very Good - GodsTN.DE7     $1.75 154 - Good/VG   - Poster - Dragonlance story - WarTN.DE7     $2.00 155 - Excellent - Faeries - DUNGEON moduleTN.DE7     $1.75 157 - Very Good - Buck Rogersthedm      $2.00 158 - Very Good - 14th anniversary - DragonsUCCXKVB    $2.00 159 - Excellent - Spelljammer - Poster missingkohlmaas   $2.00 160 - Good/VG  *- Urban adventures - AD&D trading card insert missingUCCXKVB    $2.25 161 - Very Good - DM issueTN.DE7     $1.75 162 - Good      - Haloween - Poster missingthedm      $2.0  163 - Excellent - Monsterous compendum insert - MagicTN.DE7     $2.0  164 - Very Good - Oriental AdventuresTN.DE7     $1.75 165 - VG/EX     - Sea/UnderseaTN.DE7     $1.75 166 - Excellent*- Sci Fi (other games) - Dino wars insert missingTN.DE7     $1.75 167 - Excellent - Nature/WildernessUCCXKVB    $2.5  169 - Very Good - Slight crease of back cover - Misc items featuredthedm      $2.5  170 - Good      - Slight crease in cover - Dragon kings game insert - Dragons - 15th anniversary issueUCCXKVB    $2.00 171 - Excellent*- Missing poster & trading cards (ARGH!)Cfrye      $2.75 172 - Excellent - Underdarkhachiman   $2    173 - Excellent - Dark Sunintravai   $2    174 - Excellent - Horrorintravai   $3.00 175 - Excellent - World building - Campaign helpTN.DE7     $2.00 176 - Excellent - Elves - Giant poster insideTN.DE7     $1.5  177 - Very Good - Calender poster - DM help (gunpowder too)intravai   $3.0  178 - Excellent - Fighters & the Fighter classTN.DE7     $2.50 179 - Excellent - GENCON form - Magic items featuredTN.DE7     $2.50 181 - Excellent - Calendar Poster - Mages/SorcerorsTN.DE7     $2.50 182 - Excellent - 16 anniversary issue - DragonsTN.DE7     $2.50 184 - Excellent - Non Player Character enhancementTN.DE7     $1.75 185 - Excellent - Dark Sun Campaign Monsters - Dark Sungeoffrey   $1.50 186 - Excellent - Haloween - HorrorTN.DE7     $1.75 187 - Excellent - Wilderness - Outdoors"
1841,"To: ad994@Freenet.carleton.caJW> 1) Where is there a book or code that will teach me howJW> to read and write pcx,dbf,and gif files?JW> 2) How do I access the extra ram on my paradise video boardJW> so I can do paging in the higher vga modes ie: 320x200x256JW> 800x600x256JW> 3) anybody got a line on a good book to help answer these question?Here are some that I have that are very good:  Graphics File Formats, Kay and Levine, ISBN 0-8306-3059-7  Supercharged Bitmapped Graphics, Rimmer, ISBN 0-8306-3788-5  Programmer's Guide to the EGA and VGA Cards, Ferraro,     ISBN 0-201-57025-4 (has a whole chapter on Paradise SVGA)Dave"
1848,"I have the following items for sale.  Buyer pays the shipping costs.  Hardware is new and unused unless marked otherwise.  All software includes original disks and manuals.  No reasonable offers refused.Send offers/questions to cpc3@po.cwru.eduHardware---------Hercules Graphics Card - mono graphics and printer portsHercules Color Card -  color graphics and printer portsTeac 1.2MB 5.25""  floppy drive - doesn't work, sold as is for reapir orpartsIBM ASYNC card - serial card for PC/XT/AT machines, comes with supportsoftwareKraft KC10 joystick - works with PC compatibles and Apple II series (notMac)360K 5.25"" floppy disks - over 200 bulk-grade disks2 floppy disk storage boxes - each holds 60 5.25"" disks, one has a lockon itSoftware---------Microsoft Macro Assembler 5.0 and 5.1 update - large manual and tutorialincludedSideways 3.0 - rotates wide spreadsheets 90 degrees to print on 1 pageGames------WolfPack - WWII submarine simultaionSpace Station Oblivion - arcade-style game similar to SpectreDemon Stalkers - dungeon game, like GauntletZork II, Moonmist, Ballyhoo - Infocom adventure/mystery gamesJack Nicklaus' Unlimited Golf and Course Design - excellent golf gameWar In Middle Earth - similar to D&D games, based on Tolkien's ""TheHobbit""Sargon 4 - excellent chess game, play against someone or against computerSilent Service II - submarine simulation"
1851,FOR SALECANON EOS ELAN OUTFITINCLUDED -EOS elan body-28-80 mm EF 1:3.5-5.6 USM lens-100-300 mm EF 1:4.%-5.6 USM lens-2 B&W UV filters-Hoya circular polarising filter-Canon RC-1 remote controller-Pentax lens cloth-Lowe Pro camera bag-Galen Rowell Photoflex lens bag-Sapre lithium battery-Hove Foto bokk user guide to Canon EOS elanAll as new conditionThe whole lot $800 (firm)Contact David 617-227-7326              617-956-6905
1855,"And now, I interrupt your regularly scheduled news reading to bring you another message sponsored by the Department of Really Mundane Statistics:I passed the final individual player stats posted here the other day througha filter to average out games, goals, assists, points, and penalty minutesfor the mythical average NHL pro who played in the league this season. (Why?Because it's Monday and I didn't feel like writing any REAL code...)Anyway, after I wiped out the 60-odd goalies in the list, I came up with:NHL average:		55 GP      11 G      19 A      30 Pts      69 PIMThen I passed the list through a second time to come up with the players whohad the smallest percentage difference in each of the categories.Marty McInnis (NYI)	56 GP (1%) 10 G (9%) 20 A (5%) 30 Pts (0%) 24 PIM (65%)Igor Kravchuk (EDM)	55 GP (0%) 10 G (9%) 17 A (10%) 27 Pts (9%) 27 PIM (53%)These two are close in games, goals, assists, and points, but are too far offin PIM. This leaves, as the most average player in the NHL:Bobby Carpenter (WAS)	65 GP (18%) 11 G (0%) 17 A (10%) 28 Pts (6%) 63 PIM (8%)What an honor.I also passed the list through with the goalies still included. Kravchuk andCarpenter were still in the top three, but Rob DiMaio came flying up from behind to take the title:NHL average:		53 GP      10 G      17 A      27 Pts      64 PIMIgor Kravchuk (EDM)     55 GP (3%) 10 G (0%) 17 A (0%) 27 Pts (0%) 27 PIM (50%)Bobby Carpenter (WAS)   65 GP (22%) 11 G (10%) 17 A (0%) 28 Pts (3%) 63 PIM (1%)Rob DiMaio (TB)		54 GP (1%) 9 G (9%) 15 A (11%) 24 Pts (11%) 62 PIM (3%)It's all really kind of underwhelming when you think about it.-SG"
1857,"=================================================================I am posting this for someone else.  Please respond to the address listed below.  Please also excuse the duplication as this message has been crossposted.  Thanks!=================================================================        REQUEST FOR IDEAS FOR APPLICATIONS OF REMOTE SENSING DATABASES                              VIA THE INTERNET NASA is planning to expand the domain of users of its Earth and space sciencedata.  This effort will:   o   Use the evolving infrastructure of the U.S. Global Change Research       Program including the Mission To Planet Earth (MTPE) and the Earth       Observing System Data and Information System (EOSDIS) Programs.   o   Use the Internet, particularly the High Performance Computing and       Communications Program's NREN (National Research and Education       Network), as a means of providing access to and distribution of       science data and images and value added products.   o   Provide broad access to and utilization of remotely sensed images in       cooperation with other agencies (especially NOAA, EPA, DOE, DEd,       DOI/USGS, and USDA).    o   Support remote sensing image and data users and development       communities.  The user and development communities to be included (but not limited to) aspart of this effort are educators, commercial application developers (e.g., television weather forecasters), librarians, publishers, agriculture specialists, transportation, forestry, state and local government planners, andaqua business. This program will be initiated in 1994.  Your assistance is requested to identify potential applications of remote sensing images and data.  We would like your ideas for potential application areas to assist with development ofthe Implementation Plan. PLEASE NOTE: THIS IS NOT A REQUEST FOR PROPOSALS.   We are seeking your ideas in these areas:    (1)  Potential commercial use of remote sensing data and images;    (2)  Potential noncommercial use of remote sensing data and images in        education (especially levels K-12) and other noncommercial areas;   (3)  Types of on-line capabilities and protocols to make the data more        accessible;   (4)  Additional points of contacts for ideas; and    (5)  Addresses and names  from whom to request proposals.  For your convenience, a standard format for responses is included below.  Feelfree to amend it as necessary.  Either e-mail or fax your responses to us byMay 5, 1993. E-MAIL:   On Internet ""rsdwg@orion.ossa.hq.nasa.gov""  ASCII  - No binary attachments please FAX:   Ernie Lucier, c/o RSDWG, NASA HQ, FAX 202-358-3098 Survey responses in the following formats may also be placed in the FTP directory ~ftp/pub/RSDWG on orion.nasa.gov.  Please indicate the format. Acceptable formats are: Word for Windows 2.X, Macintosh Word 4.X and 5.X, and RTF.     ----------------------------RESPONSE FORMAT-------------------------- REQUEST FOR IDEAS FOR APPLICATIONS OF REMOTE SENSING DATABASES VIA THE INTERNET (1)  Potential commercial use of remote sensing data and images  (if possible,identify the relevant types of data or science products, user tools, andstandards).       (2)  Uses of remote sensing data and images in education (especially levelsK-12) and other noncommercial areas (if possible, identify the relevant typesof data or science products, user tools, and standards).        (3)  Types of on-line capabilities and protocols to make the data and imagesmore accessible (if possible, identify relevant types of formats, standards,and user tools)       (4)  Additional suggested persons or organizations that may be resources for further ideas on applications areas.  Please include: Name, Organization, Address and Telephone Number.       (5)  Organizations, mailing lists (electronic and paper), periodicals, etc. towhom a solicitation for proposals should be sent when developed.  Please include: Name, Organization, Address and Telephone Number.   (6)  We would benefit from knowing why users that know about NASA remote sensing data do not use the data.  Is it because they do not have ties to NASAinvestigators, or high cost, lack of accessibility, incompatible data formats,poor area of interest coverage, inadequate spatial or spectral resolution, ...?    "
1859,[...]How ironic.
1869,"I have the following 45 rpm singles for sale. Most are collectable 7-inch records with picture sleeves. Price does not include postage which is $1.21 for the first record, $1.69 for two, etc.Rolling Stones|19th Nervous Brakdown (London Picture Sleeve)|$10Rolling Stones|Jumpin Jack Flash (London Picture Sleeve)|$10Rolling Stones|Mothers Little Helper (London Picture Sleeve)|$10Rolling Stones|Paint It, Black (London Picture Sleeve)|$10If you are intereste, please contact:"
